id,mardmodel,mardlinear
183,0.0031773,0.00094649
17,0.00587703,0.0016479
62,0.00422328,0.00234812
186,0.00645138,0.00401919
14,0.00731336,0.0033345
244,0.00890229,0.00257312
37,0.0051399,0.00169283
54,0.0086182,0.040025
232,0.01817078,0.40753452
236,0.00562931,0.00189144
