id,mardmodel,mardlinear,mardmodellinear
183,0.0031773,0.00094649,0.00307334
17,0.00587703,0.0016479,0.0059205
62,0.00422328,0.00234812,0.00730228
186,0.00645138,0.00401919,0.01075522
14,0.00731336,0.0033345,0.0079336
244,0.00890229,0.00257312,0.00710697
37,0.0051399,0.00169283,0.00647551
54,0.0086182,0.040025,0.06596288
232,0.01817078,0.40753452,0.13387885
236,0.00562931,0.00189144,0.00549083
